i,refi,refq
334,0.992075,0.125650
335,-0.172544,0.985002
336,-0.975714,-0.219050
337,0.265063,-0.964231
338,0.950580,0.310480
339,-0.355199,0.934791
340,-0.916899,-0.399119
341,0.442141,-0.896945
342,0.874974,0.484169
343,-0.525108,0.851036
344,-0.825183,-0.564866
345,0.603353,-0.797474
346,0.767972,0.640484
347,-0.676174,0.736742
348,-0.703855,-0.710343
349,0.742915,-0.669386
350,0.633411,0.773816
351,-0.802976,0.596011
352,-0.557271,-0.830331
353,0.855818,-0.517277
354,0.476121,0.879380
355,-0.900964,0.433893
356,-0.390689,-0.920523
357,0.938010,-0.346607
358,0.301745,0.953389
359,-0.966622,0.256205
360,-0.210088,-0.977682
361,0.986543,-0.163499
362,0.116542,0.993186
363,-0.997594,0.069323
364,-0.021948,-0.999759
365,0.999675,0.025476
366,-0.072843,0.997343
367,-0.992768,-0.120046
368,0.166979,-0.985960
369,0.976935,0.213537
370,-0.259614,0.965712
371,-0.952318,-0.305107
372,0.349915,-0.936782
373,0.919138,0.393935
374,-0.437069,0.899428
375,-0.877695,-0.479220
376,0.520294,-0.853987
377,0.828359,0.560197
378,-0.598841,0.800868
379,-0.771576,-0.636137
380,0.672003,-0.740548
381,0.707855,0.706357
382,-0.739123,0.673570
383,-0.637770,-0.770227
384,0.799598,-0.600536
385,0.561951,0.827171
386,-0.852883,0.522102
387,-0.481079,-0.876677
388,0.898500,-0.438974
389,0.395881,0.918302
390,-0.936038,0.351898
391,-0.307124,-0.951669
392,0.965160,-0.261659
393,0.215606,0.976480
394,-0.985604,0.169067
395,-0.122149,-0.992512
396,0.997187,-0.074955
397,0.027594,0.999619
398,-0.999803,-0.019830
399,0.067210,-0.997739
400,0.993430,0.114438
401,-0.161409,0.986888
402,-0.978125,-0.208017
403,0.254157,-0.967163
404,0.954026,0.299725
405,-0.344619,0.938743
406,-0.921348,-0.388738
407,0.431983,-0.901882
408,0.880387,0.474257
409,-0.515463,0.856912
410,-0.831509,-0.555511
411,0.594309,-0.804237
412,0.775156,0.631770
413,-0.667810,0.744331
414,-0.711833,-0.702349
415,0.735308,-0.677733
416,0.642109,0.766613
417,-0.796194,0.605042
418,-0.566613,-0.823984
419,0.849921,-0.526910
420,0.486022,0.873947
421,-0.896007,0.444040
422,-0.401060,-0.916052
423,0.934036,-0.357178
424,0.312493,0.949920
425,-0.963667,0.267105
426,-0.221116,-0.975247
427,0.984634,-0.174630
428,0.127751,0.991806
429,-0.996748,0.080585
430,-0.033238,-0.999447
431,0.999899,0.014184
432,-0.061575,0.998102
