i,smspec
289,10283988.000000
290,10606365.000000
291,10918994.000000
292,11265642.000000
293,11421709.000000
294,11332664.000000
295,11033506.000000
296,11006728.000000
297,10888267.000000
298,10759232.000000
299,10925076.000000
300,11176305.000000
301,11279024.000000
302,11446854.000000
303,11462362.000000
304,11801992.000000
305,12081658.000000
306,11819653.000000
307,11945576.000000
308,12299118.000000
309,12359036.000000
310,12271142.000000
311,11966100.000000
312,11798212.000000
313,11644714.000000
314,11279120.000000
315,11450035.000000
316,11545602.000000
317,11391834.000000
318,11107140.000000
319,10699865.000000
320,10366602.000000
321,10178767.000000
322,9448360.000000
323,9170680.000000
324,9295573.000000
325,9756583.000000
326,10504434.000000
327,12178788.000000
328,15126848.000000
329,17488452.000000
330,19705492.000000
331,21819868.000000
332,23890778.000000
333,25454860.000000
334,25856156.000000
335,23844300.000000
336,21931656.000000
337,19958274.000000
338,18152680.000000
339,15862953.000000
340,13524135.000000
341,11874810.000000
342,11162195.000000
343,10805371.000000
344,10635714.000000
345,10297010.000000
346,10185778.000000
347,10366222.000000
348,10567066.000000
349,10687117.000000
350,10865917.000000
351,10947372.000000
352,10851665.000000
353,10993273.000000
354,11176999.000000
355,10945164.000000
356,10765390.000000
357,10704360.000000
358,10552536.000000
359,10921558.000000
360,10717524.000000
361,10704706.000000
362,10645570.000000
363,10628796.000000
364,10740130.000000
365,11075008.000000
366,11057474.000000
367,11053506.000000
368,10831473.000000
369,11036522.000000
370,11223065.000000
371,11253721.000000
372,11351714.000000
373,11247540.000000
374,11450113.000000
375,11632187.000000
376,11479396.000000
377,11626780.000000
378,11650721.000000
379,11404468.000000
380,11365825.000000
381,11396436.000000
382,11307456.000000
383,11421607.000000
384,11198753.000000
385,11200454.000000
386,11031522.000000
387,10867924.000000
388,10605802.000000
389,10721477.000000
390,10825858.000000
391,10793349.000000
392,10501257.000000
393,10706764.000000
394,10972078.000000
395,11074574.000000
396,11069085.000000
397,10774211.000000
398,10805630.000000
399,11041124.000000
400,10672254.000000
401,10435449.000000
402,10829529.000000
403,11057556.000000
404,11196864.000000
405,11178814.000000
406,11065624.000000
407,11156246.000000
408,10999148.000000
409,10546514.000000
410,10134824.000000
